Customer ID,Twitter hashtags,Social groups/likes,Social Post/month,SM check Inns/Month,Habits and Interest,Travel frequency/month
98,,Sports,0,16,,0
99,,Financial issues,0,85,,0
100,,,2,0,Gambling,2
101,Financial issues,Criminal,4,0,,4
102,,,8,0,,8
103,Criminal,Sports,9,2,Books,9
104,,Financial issues,45,4,Travelling,45
105,,,2,8,shopoholic,2
106,Mental health,Criminal,4,9,,4
107,,,3,45,,3
108,,,78,2,Travelling,78
109,,Mental health,1,4,,1
110,Health Issue,,1,3,,1
111,,,8,78,Charity,8
112,,,0,1,,0
113,,Health Issue,5,1,,5
114,,,7,8,Online Gaming,7
115,Terriost activity,,23,0,,23
116,,,0,5,Smoker,0
117,,,5,7,,5
118,,,1,23,Outdoor Activities,1
119,,Sports,4,0,,4
120,,Financial issues,8,5,,8
121,Financial issues,,23,1,,23
122,,Criminal,24,4,Alchohol Abuse,24
123,Criminal,,16,8,,16
124,,,85,23,Travelling,85
125,,Mental health,0,24,Sports,0
126,Mental health,,0,16,,0
127,,,0,85,,0
128,,,2,0,Gambling,2
129,,Health Issue,4,0,,4
130,Health Issue,,8,0,,8
131,,,9,2,Books,9
132,,,45,4,Travelling,45
133,,,2,8,shopoholic,2
134,,Terriost activity,4,9,,4
135,Terriost activity,,3,45,,3
136,,,78,2,Travelling,78
137,,spritual,1,4,,1
138,,,1,3,,1
139,,,8,78,Charity,8
140,,,0,1,,0
141,Financial issues,,5,1,,5
142,,Sports,7,8,Online Gaming,7
143,Criminal,Financial issues,23,0,,23
144,,,0,5,Smoker,0
145,,Criminal,5,7,,5
146,Mental health,,1,23,Outdoor Activities,1
147,,,4,0,,4
148,,Mental health,8,5,,8
149,,,23,1,,23
150,Health Issue,,24,4,Alchohol Abuse,24
151,,,16,8,,16
152,,Health Issue,85,23,Travelling,85
153,,,0,24,Sports,0
154,,,0,16,,0
155,Terriost activity,,0,85,,0
156,,,2,0,Gambling,2
157,,Terriost activity,4,0,,4
158,,,8,0,,8
159,,,9,2,Books,9
160,,spritual,45,4,Travelling,45
161,Financial issues,,2,8,shopoholic,2
162,,,4,9,,4
163,Criminal,,3,45,,3
164,,,78,2,Travelling,78
165,,Sports,1,4,,1
166,Mental health,Financial issues,1,3,,1
167,,,8,78,Charity,8
168,,Criminal,0,1,,0
169,,,5,1,,5
170,Health Issue,Sports,7,8,Online Gaming,7
171,,Financial issues,23,0,,23
172,,,,5,Smoker,
173,,Criminal,0,7,,0
174,,,5,23,Outdoor Activities,5
175,Terriost activity,,1,,,1
176,,Mental health,4,0,,4
177,,,8,5,,8
178,,,23,1,Alchohol Abuse,23
179,,,24,4,,24
180,,Health Issue,16,8,Travelling,16
181,Financial issues,,85,23,Sports,85
182,,,0,24,,0
183,Criminal,,0,16,,0
184,,,0,85,Gambling,0
185,,Terriost activity,2,0,,2
186,Mental health,,4,0,,4
187,,,8,0,Books,8
188,,spritual,9,2,Travelling,9
189,,,45,4,shopoholic,45
190,Health Issue,,2,8,,2
191,,,4,9,,4
192,,,3,45,Travelling,3
193,,Sports,78,2,,78
194,,Financial issues,1,4,,1
195,Terriost activity,,1,3,Charity,1
196,,Criminal,8,78,,8
197,,,0,1,,0
198,,,5,1,Online Gaming,5
199,,Mental health,7,8,,7
200,,,23,0,,23
201,Financial issues,,,5,,
202,,,0,7,Smoker,0
203,Criminal,Health Issue,5,23,,5
204,,,1,,Outdoor Activities,1
205,,,4,0,,4
206,Mental health,,8,5,,8
207,,,23,1,,23
208,,Terriost activity,24,4,Alchohol Abuse,24
209,,,16,8,,16
210,Health Issue,,85,23,Travelling,85
211,,spritual,0,24,Sports,0
212,,,0,16,,0
213,,,0,85,,0
214,,,2,0,Gambling,2
215,Terriost activity,,4,0,,4
216,,Sports,8,0,,8
217,,Financial issues,9,2,Books,9
218,,,45,4,Travelling,45
219,,Criminal,2,8,shopoholic,2
220,,,4,9,,4
221,Financial issues,Sports,3,45,,3
222,,Financial issues,78,2,Travelling,78
223,Criminal,,1,4,,1
224,,Criminal,1,3,,1
225,,,8,78,Charity,8
226,Mental health,,0,1,,0
227,,Mental health,5,1,,5
228,,,7,8,Online Gaming,7
229,,,23,0,,23
230,Health Issue,,,5,,
231,,Health Issue,0,7,,0
232,,,5,23,Smoker,5
233,,,1,,,1
234,,,4,0,Outdoor Activities,4
235,Terriost activity,,8,5,,8
236,,,23,1,,23
237,,Sports,24,4,,24
238,,Financial issues,16,8,Alchohol Abuse,16
239,,,85,23,,85
240,,Criminal,0,24,Travelling,0
241,Financial issues,,0,16,Sports,0
242,,,0,85,,0
243,Criminal,Mental health,2,0,,2
244,,,4,0,Gambling,4
245,,,8,0,,8
246,Mental health,,9,2,,9
247,,Health Issue,45,4,Books,45
248,,,2,8,Travelling,2
249,,,4,9,shopoholic,4
250,Health Issue,,3,45,,3
251,,,78,2,,78
252,,Terriost activity,1,4,Travelling,1
253,,,1,3,,1
254,,,8,78,,8
255,Terriost activity,spritual,0,1,Charity,0
256,,,5,1,,5
257,,,7,8,,7
258,,,23,0,Online Gaming,23
259,,,,5,,
260,,Sports,0,7,,0
261,Financial issues,Financial issues,5,23,Smoker,5
262,,,1,,,1
263,Criminal,Criminal,4,0,Outdoor Activities,4
264,,,8,5,,8
265,,,23,1,,23
266,Mental health,Mental health,24,4,,24
267,,,16,8,Alchohol Abuse,16
268,,,85,23,,85
269,,,0,24,Travelling,0
270,Health Issue,Health Issue,0,16,Sports,0
271,,,0,85,,0
272,,,2,0,,2
273,,,4,0,Gambling,4
274,,,8,0,,8
275,Terriost activity,Terriost activity,9,2,,9
276,,,45,4,Books,45
277,,,2,8,Travelling,2
278,,spritual,4,9,shopoholic,4
279,,,3,45,,3
280,,,78,2,,78
281,Financial issues,,1,4,Travelling,1
282,,,1,3,,1
283,Criminal,Sports,8,78,,8
284,,Financial issues,0,1,Charity,0
285,,,5,1,,5
286,Mental health,Criminal,7,8,,7
287,,,23,0,Online Gaming,23
288,,Sports,0,5,,0
289,,Financial issues,5,7,Smoker,5
290,Health Issue,,1,23,,1
291,,Criminal,4,0,Outdoor Activities,4
292,,,8,5,,8
293,,,23,1,,23
294,,Mental health,24,4,,24
295,Terriost activity,,16,8,Alchohol Abuse,16
296,,,85,23,,85
297,,,0,24,Travelling,0
298,,Health Issue,0,16,Sports,0
299,,,0,85,,0
300,,,2,0,,2
301,Financial issues,,4,0,Gambling,4
302,,,8,0,,8
303,Criminal,Terriost activity,9,2,,9
304,,,45,4,Books,45
305,,,2,8,Travelling,2
306,Mental health,spritual,4,9,shopoholic,4
307,,,3,45,,3
308,,,78,2,,78
309,,,1,4,Travelling,1
310,Health Issue,,1,3,,1
311,,Sports,8,78,,8
312,,Financial issues,0,1,Charity,0
313,,,5,1,,5
314,,Criminal,7,8,,7
315,Terriost activity,,23,0,Online Gaming,23
316,,,,5,,
317,,Mental health,,7,Smoker,
318,,,0,23,,0
319,,,5,,Outdoor Activities,5
320,,,1,,,1
321,Financial issues,Health Issue,4,0,,4
322,,,8,5,,8
323,Criminal,,23,1,Alchohol Abuse,23
324,,,24,4,,24
325,,,16,8,Travelling,16
326,Mental health,Terriost activity,85,23,Sports,85
327,,,0,24,,0
328,,,0,16,,0
329,,spritual,0,85,Gambling,0
330,Health Issue,,2,0,,2
331,,,4,0,,4
332,,,8,0,Books,8
333,,,9,2,Travelling,9
334,,Sports,45,4,shopoholic,45
335,Terriost activity,Financial issues,2,8,,2
336,,,4,9,,4
337,,Criminal,3,45,Travelling,3
338,,,78,2,,78
339,,Sports,1,4,,1
340,,Financial issues,1,3,Charity,1
341,Financial issues,,8,78,,8
342,,Criminal,0,1,,0
343,Criminal,,5,1,Online Gaming,5
344,,,7,8,,7
345,,Mental health,23,0,Smoker,23
346,Mental health,,,5,,
347,,,0,7,Outdoor Activities,0
348,,,5,23,,5
349,,Health Issue,1,,,1
350,Health Issue,,4,0,,4
351,,,8,5,Alchohol Abuse,8
352,,,23,1,,23
353,,,24,4,Travelling,24
354,,,16,8,Sports,16
355,Terriost activity,Sports,85,23,,85
356,,Financial issues,0,24,,0
357,,,0,16,Gambling,0
358,,Criminal,0,85,,0
359,,,2,0,,2
360,,,4,0,Books,4
361,Financial issues,Mental health,8,0,Travelling,8
362,,,9,2,shopoholic,9
363,Criminal,,45,4,,45
364,,,2,8,,2
365,,Health Issue,4,9,Travelling,4
366,Mental health,,3,45,,3
367,,,78,2,,78
368,,,1,4,Charity,1
369,,,1,3,,1
370,Health Issue,Terriost activity,8,78,,8
371,,,0,1,Online Gaming,0
372,,,5,1,,5
373,,spritual,7,8,Smoker,7
374,,,23,0,,23
375,Terriost activity,,0,5,Outdoor Activities,0
376,,,5,7,,5
377,,,1,23,,1
378,,Sports,4,0,,4
379,,Financial issues,8,5,Alchohol Abuse,8
380,,,23,1,,23
381,Financial issues,Criminal,24,4,Travelling,24
382,,,16,8,Sports,16
383,Criminal,,85,23,,85
384,,Mental health,0,24,,0
385,,,0,16,Gambling,0
386,Mental health,,0,85,,0
387,,,2,0,,2
388,,Health Issue,4,0,Books,4
389,,,8,0,Travelling,8
390,Health Issue,,9,2,shopoholic,9
391,,,45,4,,45
392,,,2,8,,2
393,,Terriost activity,4,9,Travelling,4
394,,,3,45,,3
395,Terriost activity,,78,2,,78
396,,spritual,1,4,Charity,1
397,,,1,3,,1
398,,,8,78,,8
399,,,0,1,Online Gaming,0
400,,,5,1,,5
401,Financial issues,Sports,7,8,,7
402,,Financial issues,23,0,,23
403,Criminal,,0,5,Smoker,0
404,,Criminal,5,7,,5
405,,,1,23,Outdoor Activities,1
406,Mental health,Sports,4,0,,4
407,,Financial issues,8,5,,8
408,,,23,1,,23
409,,Criminal,24,4,Alchohol Abuse,24
410,Health Issue,,16,8,,16
411,,,85,23,Travelling,85
412,,Mental health,0,24,Sports,0
413,,,0,16,,0
414,,,0,85,,0
415,Terriost activity,,2,0,Gambling,2
416,,Health Issue,4,0,,4
417,,,8,0,,8
418,,,9,2,Books,9
419,,,45,4,Travelling,45
420,,,2,8,shopoholic,2
421,Financial issues,Terriost activity,4,9,,4
422,,,3,45,,3
423,Criminal,,78,2,Travelling,78
424,,spritual,1,4,,1
425,,,1,3,,1
426,Mental health,,8,78,Charity,8
427,,,0,1,,0
428,,,5,1,,5
429,,Sports,7,8,Online Gaming,7
430,Health Issue,Financial issues,23,0,,23
431,,,0,5,,0
432,,Criminal,5,7,,5
433,,,1,23,Smoker,1
434,,,4,0,,4
435,Terriost activity,Mental health,8,5,Outdoor Activities,8
436,,,23,1,,23
437,,,24,4,,24
438,,,16,8,,16
439,,Health Issue,85,23,Alchohol Abuse,85
440,,,0,24,,0
441,Financial issues,,0,16,Travelling,0
442,,,0,85,Sports,0
443,Criminal,,2,0,,2
444,,Terriost activity,4,0,,4
445,,,8,0,Gambling,8
446,Mental health,,9,2,,9
447,,spritual,45,4,,45
448,,,2,8,Books,2
449,,,4,9,Travelling,4
450,Health Issue,,3,45,shopoholic,3
451,,,78,2,,78
452,,Sports,1,4,,1
453,,Financial issues,1,3,Travelling,1
454,,,8,78,,8
455,Terriost activity,Criminal,0,1,,0
456,,,5,1,Charity,5
457,,Sports,7,8,,7
458,,Financial issues,23,0,,23
459,,,,5,Online Gaming,
460,,Criminal,0,7,,0
461,Financial issues,,5,23,,5
462,,,1,,Smoker,1
463,Criminal,Mental health,4,0,,4
464,,,8,5,Outdoor Activities,8
465,,,23,1,,23
466,Mental health,,24,4,,24
467,,Health Issue,16,8,,16
468,,,85,23,Alchohol Abuse,85
469,,,0,24,,0
470,Health Issue,,0,16,Travelling,0
471,,,0,85,Sports,0
472,,,2,0,,2
473,,Sports,4,0,,4
474,,Financial issues,8,0,Gambling,8
475,Terriost activity,,9,2,,9
476,,Criminal,45,4,,45
477,,,2,8,Books,2
478,,,4,9,Travelling,4
479,,Mental health,3,45,shopoholic,3
480,,,78,2,,78
481,Financial issues,,1,4,,1
482,,,1,3,Travelling,1
483,Criminal,Health Issue,8,78,,8
484,,,0,1,,0
485,,,5,1,Charity,5
486,Mental health,,7,8,,7
487,,,23,0,,23
488,,Terriost activity,,5,Online Gaming,
489,,,0,7,,0
490,Health Issue,,5,23,Smoker,5
491,,spritual,1,,,1
492,,,4,0,Outdoor Activities,4
493,,,8,5,,8
494,,,23,1,,23
495,Terriost activity,,24,4,,24
496,,Sports,16,8,Alchohol Abuse,16
497,,Financial issues,85,23,,85
498,,,0,24,Travelling,0
499,,Criminal,0,16,Sports,0
500,,,0,85,,0
501,Financial issues,,2,0,,2
502,,Mental health,4,0,Gambling,4
503,Criminal,,8,0,,8
504,,,9,2,,9
505,,,45,4,Books,45
506,Mental health,Health Issue,2,8,Travelling,2
507,,,4,9,shopoholic,4
508,,,3,45,,3
509,,,78,2,,78
510,Health Issue,,1,4,Travelling,1
511,,Terriost activity,1,3,,1
512,,,8,78,,8
513,,,0,1,Charity,0
514,,spritual,5,1,,5
515,Terriost activity,,7,8,,7
516,,,23,0,Online Gaming,23
517,,,,5,,
518,,,0,7,Smoker,0
519,,Sports,5,23,,5
520,,Financial issues,1,,Outdoor Activities,1
521,Financial issues,,4,0,,4
522,,Criminal,8,5,,8
523,Criminal,,23,1,,23
524,,Sports,24,4,Alchohol Abuse,24
525,,Financial issues,16,8,,16
526,Mental health,,85,23,Travelling,85
527,,Criminal,0,24,Sports,0
528,,,0,16,,0
529,,,0,85,,0
530,Health Issue,Mental health,2,0,Gambling,2
531,,,4,0,,4
532,,,8,0,,8
533,,,9,2,Books,9
534,,Health Issue,45,4,Travelling,45
535,Terriost activity,,2,8,shopoholic,2
536,,,4,9,,4
537,,,3,45,,3
538,,,78,2,Travelling,78
539,,Terriost activity,1,4,,1
540,,,1,3,,1
541,Financial issues,,8,78,Charity,8
542,,spritual,0,1,,0
543,Criminal,,5,1,,5
544,,,7,8,Online Gaming,7
545,,,23,0,,23
546,Mental health,,,5,Smoker,
547,,Sports,0,7,,0
548,,Financial issues,5,23,Outdoor Activities,5
549,,,1,,,1
550,Health Issue,Criminal,4,0,,4
551,,,8,5,,8
552,,,23,1,Alchohol Abuse,23
553,,Mental health,24,4,,24
554,,,16,8,Travelling,16
555,Terriost activity,,85,23,Sports,85
556,,,0,24,,0
557,,Health Issue,0,16,,0
558,,,0,85,Gambling,0
559,,,2,0,,2
560,,,4,0,,4
561,Financial issues,,8,0,Books,8
562,,Terriost activity,9,2,Travelling,9
563,Criminal,,45,4,shopoholic,45
564,,,2,8,,2
565,,spritual,4,9,,4
566,Mental health,,3,45,Travelling,3
567,,,78,2,,78
568,,,1,4,,1
569,,,1,3,Charity,1
570,Health Issue,Sports,8,78,,8
571,,Financial issues,0,1,,0
572,,,5,1,Online Gaming,5
573,,Criminal,7,8,,7
574,,,23,0,Smoker,23
575,Terriost activity,Sports,0,5,,0
576,,Financial issues,5,7,Outdoor Activities,5
577,,,1,23,,1
578,,Criminal,4,0,,4
579,,,8,5,,8
580,,,23,1,Alchohol Abuse,23
581,Financial issues,Mental health,24,4,,24
582,,,16,8,Travelling,16
583,Criminal,,85,23,Sports,85
584,,,0,24,,0
585,,Health Issue,0,16,,0
586,Mental health,,0,85,Gambling,0
587,,,2,0,,2
588,,,4,0,,4
589,,,8,0,Books,8
590,Health Issue,,9,2,Travelling,9
591,,Sports,45,4,shopoholic,45
592,,Financial issues,2,8,,2
593,,,4,9,,4
594,,Criminal,3,45,Travelling,3
595,Terriost activity,,78,2,,78
596,,,1,4,,1
597,,Mental health,1,3,Charity,1
598,,,8,78,,8
599,,,0,1,,0
600,,,5,1,Online Gaming,5
601,Financial issues,Health Issue,7,8,,7
602,,,23,0,,23
603,Criminal,,,5,,
604,,,,7,,
605,,,0,23,Smoker,0
606,Mental health,Terriost activity,5,,,5
607,,,1,,Outdoor Activities,1
608,,,4,0,,4
609,,spritual,8,5,,8
610,Health Issue,,23,1,,23
611,,,24,4,Alchohol Abuse,24
612,,,16,8,,16
613,,,85,23,Travelling,85
614,,Sports,0,24,Sports,0
615,Terriost activity,Financial issues,0,16,,0
616,,,0,85,,0
617,,Criminal,2,0,Gambling,2
618,,,4,0,,4
619,,,8,0,,8
620,,Mental health,9,2,Books,9
621,Financial issues,,45,4,Travelling,45
622,,,2,8,shopoholic,2
623,Criminal,,4,9,,4
624,,Health Issue,3,45,,3
625,,,78,2,Travelling,78
626,Mental health,,1,4,,1
627,,,1,3,,1
628,,,8,78,Charity,8
629,,Terriost activity,0,1,,0
630,Health Issue,,5,1,,5
631,,,7,8,Online Gaming,7
632,,spritual,23,0,,23
633,,,,5,,
634,,,0,7,,0
635,Terriost activity,,5,23,Smoker,5
636,,,1,,,1
637,,Sports,4,0,Outdoor Activities,4
638,,Financial issues,8,5,,8
639,,,23,1,,23
640,,Criminal,24,4,,24
641,Financial issues,,16,8,Alchohol Abuse,16
642,,Sports,85,23,,85
643,Criminal,Financial issues,0,24,Travelling,0
644,,,0,16,Sports,0
645,,Criminal,0,85,,0
646,Mental health,,2,0,,2
647,,,4,0,Gambling,4
648,,Mental health,8,0,,8
649,,,9,2,,9
650,Health Issue,,45,4,Books,45
651,,,2,8,Travelling,2
652,,Health Issue,4,9,shopoholic,4
653,,,3,45,,3
654,,,78,2,,78
655,Terriost activity,,1,4,Travelling,1
656,,,1,3,,1
657,,Terriost activity,8,78,,8
658,,,0,1,Charity,0
659,,,5,1,,5
660,,spritual,7,8,,7
661,Financial issues,,23,0,Online Gaming,23
662,,,0,5,,0
663,Criminal,,5,7,,5
664,,,1,23,Smoker,1
665,,Sports,4,0,,4
666,Mental health,Financial issues,8,5,Outdoor Activities,8
667,,,23,1,,23
668,,Criminal,24,4,,24
669,,,16,8,,16
670,Health Issue,,85,23,Alchohol Abuse,85
671,,Mental health,0,24,,0
672,,,0,16,Travelling,0
673,,,0,85,Sports,0
674,,,2,0,,2
675,Terriost activity,Health Issue,4,0,,4
676,,,8,0,Gambling,8
677,,,9,2,,9
678,,,45,4,,45
679,,,2,8,Books,2
680,,Terriost activity,4,9,Travelling,4
681,Financial issues,,3,45,shopoholic,3
682,,,78,2,,78
683,Criminal,spritual,1,4,,1
684,,,1,3,Travelling,1
685,,,8,78,,8
686,Mental health,,0,1,,0
687,,,5,1,Charity,5
688,,Sports,7,8,,7
689,,Financial issues,23,0,,23
690,Health Issue,,0,5,Online Gaming,0
691,,Criminal,5,7,,5
692,,,1,23,Smoker,1
693,,Sports,4,0,,4
694,,Financial issues,8,5,Outdoor Activities,8
695,Terriost activity,,23,1,,23
696,,Criminal,24,4,,24
697,,,16,8,,16
698,,,85,23,Alchohol Abuse,85
699,,Mental health,0,24,,0
700,,,0,16,Travelling,0
701,Financial issues,,0,85,Sports,0
702,,,2,0,,2
703,Criminal,Health Issue,4,0,,4
704,,,8,0,Gambling,8
705,,,9,2,,9
706,Mental health,,45,4,,45
707,,,2,8,Books,2
708,,,4,9,Travelling,4
709,,Sports,3,45,shopoholic,3
710,Health Issue,Financial issues,78,2,,78
711,,,1,4,,1
712,,Criminal,1,3,Travelling,1
713,,,8,78,,8
714,,,0,1,,0
715,Terriost activity,Mental health,5,1,Charity,5
716,,,7,8,,7
717,,,23,0,,23
718,,,0,5,Online Gaming,0
719,,Health Issue,5,7,,5
720,,,1,23,Smoker,1
721,Financial issues,,4,0,,4
722,,,8,5,Outdoor Activities,8
723,Criminal,,23,1,,23
724,,Terriost activity,24,4,,24
725,,,16,8,,16
726,Mental health,,85,23,Alchohol Abuse,85
727,,spritual,0,24,,0
728,,,0,16,Travelling,0
729,,,0,85,Sports,0
730,Health Issue,,2,0,,2
731,,,4,0,,4
732,,Sports,8,0,Gambling,8
733,,Financial issues,9,2,,9
734,,,45,4,,45
735,Terriost activity,Criminal,2,8,Books,2
736,,,4,9,Travelling,4
737,,,3,45,shopoholic,3
738,,Mental health,78,2,,78
739,,,1,4,,1
740,,,1,3,Travelling,1
741,Financial issues,,8,78,,8
742,,Health Issue,0,1,,0
743,Criminal,,5,1,Charity,5
744,,,7,8,,7
745,,,23,0,,23
746,Mental health,,,5,Online Gaming,
747,,Terriost activity,0,7,,0
748,,,5,23,Smoker,5
749,,,1,,,1
750,Health Issue,spritual,4,0,Outdoor Activities,4
751,,,8,5,,8
752,,,23,1,,23
753,,,24,4,,24
754,,,16,8,Alchohol Abuse,16
755,Terriost activity,Sports,85,23,,85
756,,Financial issues,0,24,Travelling,0
757,,,0,16,Sports,0
758,,Criminal,0,85,,0
759,,,2,0,,2
760,,Sports,4,0,Gambling,4
761,Financial issues,Financial issues,8,0,,8
762,,,9,2,,9
763,Criminal,Criminal,45,4,Books,45
764,,,2,8,Travelling,2
765,,,4,9,shopoholic,4
766,Mental health,Mental health,3,45,,3
767,,,78,2,,78
768,,,1,4,Travelling,1
769,,,1,3,,1
770,Health Issue,Health Issue,8,78,,8
771,,,0,1,Charity,0
772,,,5,1,,5
773,,,7,8,,7
774,,,23,0,Online Gaming,23
775,Terriost activity,Terriost activity,,5,,
776,,,0,7,Smoker,0
777,,,5,23,,5
778,,spritual,1,,Outdoor Activities,1
779,,,4,0,,4
780,,,8,5,,8
781,Financial issues,,23,1,,23
782,,,24,4,Alchohol Abuse,24
783,Criminal,Sports,16,8,,16
784,,Financial issues,85,23,Travelling,85
785,,,0,24,Sports,0
786,Mental health,Criminal,0,16,,0
787,,,0,85,,0
788,,,2,0,Gambling,2
789,,Mental health,4,0,,4
790,Health Issue,,8,0,,8
791,,,9,2,Books,9
792,,,45,4,Travelling,45
793,,Health Issue,2,8,shopoholic,2
794,,,4,9,,4
795,Terriost activity,,3,45,,3
796,,,78,2,Travelling,78
797,,,1,4,,1
798,,Terriost activity,1,3,,1
799,,,8,78,Charity,8
800,,,0,1,,0
801,Financial issues,spritual,5,1,,5
802,,,7,8,Online Gaming,7
803,Criminal,,23,0,,23
804,,,,5,,
805,,,0,7,Smoker,0
806,Mental health,Sports,5,23,,5
807,,Financial issues,1,,Outdoor Activities,1
808,,,4,0,,4
809,,Criminal,8,5,,8
810,Health Issue,,23,1,,23
811,,Sports,24,4,Alchohol Abuse,24
812,,Financial issues,16,8,,16
813,,,85,23,Travelling,85
814,,Criminal,0,24,Sports,0
815,Terriost activity,,0,16,,0
816,,,0,85,,0
817,,Mental health,2,0,Gambling,2
818,,,4,0,,4
819,,,8,0,,8
820,,,9,2,Books,9
821,Financial issues,Health Issue,45,4,Travelling,45
822,,,2,8,shopoholic,2
823,Criminal,,4,9,,4
824,,,3,45,,3
825,,,78,2,Travelling,78
826,Mental health,,1,4,,1
827,,Sports,1,3,,1
828,,Financial issues,8,78,Charity,8
829,,,0,1,,0
830,Health Issue,Criminal,5,1,,5
831,,,7,8,Online Gaming,7
832,,,23,0,,23
833,,Mental health,,5,,
834,,,0,7,,0
835,Terriost activity,,5,23,Smoker,5
836,,,1,,,1
837,,Health Issue,4,0,Outdoor Activities,4
838,,,8,5,,8
839,,,23,1,,23
840,,,24,4,,24
841,Financial issues,,16,8,Alchohol Abuse,16
842,,Terriost activity,85,23,,85
843,Criminal,,0,24,Travelling,0
844,,,0,16,Sports,0
845,,spritual,0,85,,0
846,Mental health,,2,0,,2
847,,,4,0,Gambling,4
848,,,8,0,,8
849,,,9,2,,9
850,Health Issue,Sports,45,4,Books,45
851,,Financial issues,2,8,Travelling,2
852,,,4,9,shopoholic,4
853,,Criminal,3,45,,3
854,,,78,2,,78
855,Terriost activity,,1,4,Travelling,1
856,,Mental health,1,3,,1
857,,,8,78,,8
858,,,0,1,Charity,0
859,,,5,1,,5
860,,Health Issue,7,8,,7
861,Financial issues,,23,0,Online Gaming,23
862,,,0,5,,0
863,Criminal,,5,7,,5
864,,,1,23,Smoker,1
865,,Terriost activity,4,0,,4
866,Mental health,,8,5,Outdoor Activities,8
867,,,23,1,,23
868,,spritual,24,4,,24
869,,,16,8,,16
870,Health Issue,,85,23,Alchohol Abuse,85
871,,,0,24,,0
872,,,0,16,Travelling,0
873,,Sports,0,85,Sports,0
874,,Financial issues,2,0,,2
875,Terriost activity,,4,0,,4
876,,Criminal,8,0,Gambling,8
877,,,9,2,,9
878,,Sports,45,4,,45
879,,Financial issues,2,8,Books,2
880,,,4,9,Travelling,4
881,Financial issues,Criminal,3,45,shopoholic,3
882,,,78,2,,78
883,Criminal,,1,4,,1
884,,Mental health,1,3,Travelling,1
885,,,8,78,,8
886,Mental health,,0,1,,0
887,,,5,1,Charity,5
888,,Health Issue,7,8,,7
889,,,23,0,,23
890,Health Issue,,,5,Online Gaming,
891,,,,7,,
892,,,0,23,Smoker,0
893,,Terriost activity,5,,,5
894,,,1,,Outdoor Activities,1
895,Terriost activity,,4,0,,4
896,,spritual,8,5,,8
