customer_id,Education,EducationField,JobRole,JobSatisfaction,MonthlyIncome,PerformanceRating,Achievement,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,MaritalStatus,DailySteps(*1000),SleepHours,DailyShouting,TimeForPassion,PlacesVisited,SocialNetwork,Smoking,Alcohol
28,Master,Marketing,Sales Executive,2,6825,3,8,10,9,7,Married,5,7,1,2,10,7,never smoked,social drinker
29,Master,Medical,Healthcare Representative,4,10248,3,3,24,22,6,Married,10,6,3,2,6,10,former smoker,social drinker
30,Master,Marketing,Manager,1,18947,3,3,22,2,2,Single,4,7,3,1,10,2,tried smoking,social drinker
31,Bachelor,Medical,Laboratory Technician,4,2496,3,3,7,1,1,Single,10,7,0,5,10,5,former smoker,drink a lot
32,Master,Other,Healthcare Representative,4,6465,3,4,9,4,2,Married,3,8,1,4,3,10,tried smoking,social drinker
33,College,Medical,Laboratory Technician,3,2206,3,1,10,10,0,Single,1,6,10,2,0,8,current smoker,social drinker
34,Bachelor,Technical Degree,Sales Representative,4,2086,3,2,19,1,0,Married,5,8,0,3,10,3,tried smoking,social drinker
35,Bachelor,Medical,Research Scientist,4,2293,3,10,6,2,0,Married,10,7,3,4,10,8,tried smoking,social drinker
36,College,Medical,Research Scientist,3,2645,3,0,6,5,3,Divorced,2,6,6,2,0,5,tried smoking,social drinker
37,College,Marketing,Sales Representative,3,2683,3,10,3,3,2,Married,2,6,3,6,7,8,never smoked,social drinker
38,Bachelor,Marketing,Sales Representative,4,2014,3,2,2,2,2,Married,10,8,10,0,1,2,former smoker,social drinker
39,Master,Life Sciences,Research Scientist,1,3419,3,5,6,1,1,Married,7,6,2,4,1,10,tried smoking,social drinker
40,Bachelor,Life Sciences,Sales Executive,1,5376,3,3,10,5,3,Married,3,9,3,6,6,7,never smoked,never
41,College,Other,Laboratory Technician,4,1951,3,6,1,1,0,Divorced,3,7,1,4,10,4,never smoked,social drinker
42,Master,Life Sciences,Laboratory Technician,1,2341,3,2,1,1,0,Divorced,3,5,2,0,10,3,tried smoking,social drinker
43,Bachelor,Life Sciences,Laboratory Technician,3,2293,3,1,1,1,0,Single,2,9,3,0,0,10,never smoked,never
44,Bachelor,Life Sciences,Sales Executive,3,8726,3,3,9,9,8,Single,7,7,3,5,4,10,tried smoking,drink a lot
45,College,Medical,Laboratory Technician,4,4011,4,0,12,12,8,Single,8,8,3,2,3,4,current smoker,social drinker
46,Bachelor,Technical Degree,Research Director,3,19545,3,5,23,22,15,Married,10,5,7,2,10,10,never smoked,social drinker
47,Master,Marketing,Sales Executive,3,4568,4,4,10,9,5,Single,10,6,1,4,10,6,current smoker,social drinker
48,College,Life Sciences,Research Scientist,2,3022,4,5,8,1,0,Married,10,8,2,3,10,8,tried smoking,social drinker
49,Master,Marketing,Sales Executive,4,5772,4,8,14,9,6,Single,7,7,2,3,8,10,current smoker,social drinker
50,Below College,Life Sciences,Laboratory Technician,4,2269,3,5,1,1,0,Married,2,8,2,1,3,10,tried smoking,social drinker
51,College,Life Sciences,Laboratory Technician,3,5381,3,5,23,1,0,Single,8,7,4,5,6,10,tried smoking,social drinker
52,Master,Technical Degree,Laboratory Technician,3,3441,3,4,2,2,2,Single,10,8,4,3,8,10,never smoked,never
53,Doctor,Marketing,Sales Executive,1,5454,4,4,9,4,3,Divorced,5,6,1,1,4,10,current smoker,social drinker
54,College,Medical,Healthcare Representative,1,9884,3,3,10,4,0,Married,6,8,3,3,3,9,tried smoking,social drinker
55,Bachelor,Marketing,Sales Executive,4,4157,3,5,5,2,2,Married,1,6,1,4,5,2,current smoker,social drinker
56,College,Life Sciences,Research Director,4,13458,3,1,15,15,14,Single,3,6,8,2,1,7,current smoker,drink a lot
57,Doctor,Life Sciences,Sales Executive,1,9069,4,1,9,9,8,Married,5,8,3,1,8,10,current smoker,drink a lot
58,Master,Medical,Laboratory Technician,1,4014,3,7,4,2,2,Married,10,7,2,4,10,10,current smoker,drink a lot
59,Master,Life Sciences,Laboratory Technician,4,5915,4,4,10,7,7,Divorced,10,7,0,1,10,2,never smoked,social drinker
60,Master,Life Sciences,Manufacturing Director,3,5993,3,0,7,7,5,Divorced,1,10,2,0,0,2,current smoker,drink a lot
61,Bachelor,Medical,Manufacturing Director,4,6162,4,1,9,9,8,Married,1,10,2,0,0,2,tried smoking,social drinker
62,Doctor,Life Sciences,Laboratory Technician,4,2406,3,5,10,10,3,Single,8,7,1,9,1,8,current smoker,social drinker
63,College,Medical,Research Director,3,18740,3,2,29,27,3,Divorced,6,7,3,8,4,4,never smoked,social drinker
64,Bachelor,Life Sciences,Sales Executive,1,7637,3,1,28,21,16,Single,8,6,0,1,10,5,tried smoking,social drinker
65,Bachelor,Technical Degree,Healthcare Representative,3,10096,3,10,17,17,14,Divorced,2,9,4,1,6,0,former smoker,social drinker
66,Bachelor,Medical,Manager,3,14756,3,6,21,5,0,Divorced,5,6,7,4,6,6,tried smoking,social drinker
67,Bachelor,Life Sciences,Manufacturing Director,2,6499,3,6,6,6,5,Single,5,6,7,4,6,6,tried smoking,social drinker
68,Bachelor,Life Sciences,Research Scientist,1,9724,3,1,25,1,0,Divorced,10,7,1,3,3,4,never smoked,never
69,Bachelor,Medical,Research Scientist,1,2194,3,1,5,3,2,Married,6,7,2,1,1,3,tried smoking,drink a lot
70,Bachelor,Medical,Research Scientist,3,3388,3,1,2,1,0,Married,1,8,1,2,6,10,tried smoking,social drinker
71,Below College,Life Sciences,Sales Executive,3,5473,3,3,20,4,3,Single,8,8,0,6,10,10,former smoker,social drinker
72,Bachelor,Life Sciences,Research Scientist,2,2703,4,0,6,5,4,Married,10,4,0,1,4,3,tried smoking,never
73,Master,Medical,Research Scientist,2,2501,3,1,1,1,1,Single,4,4,10,0,0,3,former smoker,social drinker
74,Bachelor,Life Sciences,Research Scientist,2,6220,3,4,10,10,4,Married,7,6,1,1,10,10,former smoker,social drinker
75,Bachelor,Life Sciences,Laboratory Technician,4,3038,3,0,5,1,0,Married,4,8,2,5,10,2,tried smoking,social drinker
76,Master,Life Sciences,Manufacturing Director,4,4424,4,3,11,11,7,Single,5,7,0,2,3,10,tried smoking,drink a lot
77,Master,Marketing,Sales Executive,1,4312,3,0,16,15,13,Single,10,8,6,1,10,5,tried smoking,social drinker
78,Master,Other,Research Director,1,13245,3,0,17,0,0,Married,10,8,6,1,10,5,tried smoking,social drinker
79,Master,Medical,Research Director,3,13664,3,3,16,5,2,Single,10,8,1,3,8,7,never smoked,never
80,College,Medical,Human Resources,2,5021,4,3,16,4,2,Divorced,1,6,10,1,0,0,former smoker,social drinker
81,Below College,Life Sciences,Laboratory Technician,4,5126,3,4,10,10,8,Married,8,8,1,1,2,3,tried smoking,social drinker
82,Bachelor,Medical,Research Scientist,3,2859,3,5,6,6,4,Single,1,8,3,3,6,4,tried smoking,social drinker
83,College,Life Sciences,Sales Executive,4,10239,3,3,24,1,0,Married,1,6,10,1,0,0,never smoked,social drinker
84,Bachelor,Medical,Research Scientist,4,5329,3,8,17,13,11,Divorced,3,6,5,0,8,7,former smoker,social drinker
85,College,Medical,Manufacturing Director,2,4325,3,5,5,5,2,Married,2,8,0,5,10,10,former smoker,drink a lot
86,Bachelor,Life Sciences,Manufacturing Director,4,7260,3,5,37,6,4,Single,6,6,0,2,3,10,tried smoking,social drinker
87,Below College,Technical Degree,Sales Representative,1,2322,3,6,3,0,0,Divorced,7,6,0,3,8,10,current smoker,social drinker
88,Master,Life Sciences,Laboratory Technician,4,2075,4,3,10,4,2,Married,2,8,1,6,10,5,former smoker,social drinker
89,Bachelor,Life Sciences,Healthcare Representative,4,4152,3,6,11,11,10,Married,8,8,1,5,8,7,former smoker,drink a lot
90,College,Medical,Sales Executive,4,9619,3,6,9,9,8,Single,8,8,1,5,8,7,tried smoking,social drinker
91,Master,Life Sciences,Healthcare Representative,2,13503,4,10,22,22,3,Married,9,6,9,1,4,4,tried smoking,social drinker
92,Master,Marketing,Sales Executive,4,5441,4,2,11,10,7,Single,9,6,10,0,1,5,never smoked,social drinker
93,College,Medical,Sales Executive,2,5209,3,8,11,11,8,Divorced,10,8,0,5,8,10,never smoked,social drinker
94,Bachelor,Medical,Healthcare Representative,1,10673,3,4,21,10,9,Married,7,6,7,1,3,3,current smoker,drink a lot
95,Master,Medical,Sales Executive,3,5010,3,2,12,11,8,Single,8,7,2,1,2,10,tried smoking,social drinker
96,Master,Technical Degree,Research Director,3,13549,3,3,16,4,3,Married,4,6,1,1,10,10,tried smoking,drink a lot
97,College,Other,Sales Executive,3,4999,4,4,4,3,2,Married,1,10,6,0,0,3,former smoker,drink a lot
98,Bachelor,Medical,Sales Executive,3,4221,3,1,5,5,4,Married,10,6,3,2,2,8,tried smoking,drink a lot
99,Master,Medical,Sales Executive,3,13872,3,8,38,37,10,Single,7,7,1,5,10,10,former smoker,drink a lot
100,Bachelor,Medical,Laboratory Technician,2,2042,3,7,17,3,2,Married,5,7,2,3,10,10,never smoked,social drinker
101,Master,Human Resources,Human Resources,1,2073,4,5,7,3,2,Divorced,4,7,1,4,6,5,tried smoking,drink a lot
102,Below College,Life Sciences,Research Scientist,1,2956,3,2,1,1,0,Single,3,7,6,2,8,10,tried smoking,social drinker
103,Bachelor,Life Sciences,Laboratory Technician,4,2926,3,6,1,1,0,Single,8,6,5,2,3,8,tried smoking,social drinker
104,Master,Other,Research Scientist,3,4809,3,0,16,16,13,Single,5,6,3,5,10,8,tried smoking,drink a lot
105,College,Life Sciences,Healthcare Representative,4,5163,3,4,17,1,0,Divorced,10,9,2,2,2,3,tried smoking,drink a lot
106,Master,Human Resources,Manager,4,18844,4,3,30,3,2,Married,6,7,6,2,3,5,never smoked,social drinker
107,Bachelor,Life Sciences,Research Director,2,18172,3,0,28,8,3,Married,2,7,1,0,6,4,former smoker,social drinker
108,Bachelor,Marketing,Sales Executive,3,5744,3,1,6,6,4,Single,5,8,7,1,10,3,tried smoking,social drinker
109,Below College,Medical,Research Scientist,4,2889,3,10,2,2,2,Married,3,6,1,1,5,10,never smoked,social drinker
110,Bachelor,Medical,Laboratory Technician,4,2871,3,1,1,0,0,Single,1,7,3,5,0,1,tried smoking,drink a lot
111,Master,Medical,Healthcare Representative,1,7484,4,6,23,13,12,Single,1,6,2,2,3,9,former smoker,drink a lot
112,Bachelor,Life Sciences,Laboratory Technician,3,6074,4,5,9,9,7,Single,6,8,0,5,3,2,tried smoking,social drinker
113,Bachelor,Human Resources,Manager,4,17328,3,1,23,5,3,Single,10,7,0,0,2,2,never smoked,social drinker
114,Below College,Life Sciences,Laboratory Technician,3,2774,3,3,6,5,3,Married,5,6,3,2,9,5,former smoker,social drinker
115,Master,Life Sciences,Research Scientist,2,4505,3,5,12,1,0,Divorced,1,9,3,5,10,3,former smoker,drink a lot
116,Bachelor,Life Sciences,Sales Executive,4,7428,3,5,12,5,3,Single,1,9,3,5,10,3,tried smoking,social drinker
117,Bachelor,Medical,Manager,1,11631,3,0,14,11,10,Single,10,6,4,3,0,10,former smoker,social drinker
118,College,Technical Degree,Sales Executive,4,9738,3,4,10,9,7,Married,4,8,10,3,0,2,never smoked,never
119,College,Life Sciences,Laboratory Technician,4,2835,4,2,7,1,0,Divorced,8,7,3,4,1,6,never smoked,social drinker
120,College,Life Sciences,Manager,4,16959,3,2,25,25,12,Married,9,10,3,2,6,5,tried smoking,social drinker
121,Bachelor,Life Sciences,Research Scientist,3,2613,4,2,10,10,7,Divorced,9,10,3,2,6,5,never smoked,drink a lot
122,College,Marketing,Sales Executive,2,6146,3,8,8,7,7,Married,10,9,5,3,10,5,current smoker,social drinker
123,Master,Life Sciences,Research Scientist,2,4963,3,2,7,5,4,Married,9,5,6,5,0,10,tried smoking,social drinker
124,Bachelor,Life Sciences,Research Director,3,19537,3,4,23,20,18,Single,10,7,3,1,10,10,tried smoking,never
125,Master,Life Sciences,Sales Executive,3,6172,3,8,12,7,7,Married,10,7,0,2,10,10,current smoker,social drinker
126,Bachelor,Other,Research Scientist,2,2368,3,1,5,5,4,Married,9,7,8,0,0,5,never smoked,social drinker
127,Master,Medical,Healthcare Representative,4,10312,3,2,40,40,10,Married,9,4,3,1,0,5,tried smoking,social drinker
128,Below College,Marketing,Sales Representative,3,1675,3,2,0,0,0,Single,3,5,3,4,3,5,tried smoking,social drinker
129,Below College,Technical Degree,Laboratory Technician,4,2523,3,3,3,2,1,Married,3,9,5,3,3,4,never smoked,never
130,Master,Medical,Manufacturing Director,1,6567,3,10,16,15,11,Married,10,8,0,4,3,2,never smoked,social drinker
131,Bachelor,Medical,Research Scientist,3,4739,3,2,18,3,2,Single,1,10,0,7,0,5,never smoked,
132,Bachelor,Marketing,Sales Executive,4,9208,3,1,16,2,2,Single,1,8,0,0,2,7,former smoker,social drinker
133,Bachelor,Life Sciences,Sales Executive,3,4559,3,3,4,2,2,Married,6,8,10,1,9,8,tried smoking,never
134,Below College,Life Sciences,Sales Executive,3,8189,3,4,12,9,7,Divorced,10,6,2,3,10,10,tried smoking,social drinker
135,Below College,Life Sciences,Human Resources,3,2942,4,1,8,8,7,Married,2,6,5,1,2,5,former smoker,social drinker
136,College,Medical,Manufacturing Director,2,4941,4,2,7,3,2,Divorced,5,9,7,1,10,10,current smoker,drink a lot
137,Master,Life Sciences,Manufacturing Director,4,10650,3,4,18,4,2,Single,7,7,1,2,4,10,never smoked,never
138,Master,Life Sciences,Sales Executive,3,5902,3,6,17,15,11,Married,3,6,1,2,4,4,never smoked,never
139,Bachelor,Life Sciences,Sales Executive,3,8639,3,1,6,2,2,Married,4,5,8,0,1,3,never smoked,never
140,Bachelor,Human Resources,Human Resources,4,6347,3,0,12,11,9,Married,10,7,4,6,4,10,tried smoking,social drinker
141,Bachelor,Medical,Laboratory Technician,1,4200,4,3,10,5,4,Single,10,5,7,2,3,3,tried smoking,social drinker
142,Bachelor,Medical,Research Scientist,4,3452,3,5,9,6,5,Single,7,10,1,3,9,7,current smoker,social drinker
143,Doctor,Technical Degree,Research Scientist,3,4317,4,6,19,3,2,Single,9,9,3,6,9,10,never smoked,social drinker
144,Bachelor,Life Sciences,Research Scientist,3,2632,3,5,5,5,4,Single,8,10,1,5,7,10,former smoker,social drinker
145,College,Medical,Sales Executive,4,4668,3,1,9,8,7,Divorced,10,10,0,5,9,8,never smoked,social drinker
146,Bachelor,Technical Degree,Research Scientist,1,3204,3,3,8,3,2,Divorced,7,6,1,8,5,1,current smoker,social drinker
147,Below College,Medical,Laboratory Technician,4,2720,3,10,6,5,3,Single,2,6,3,6,7,8,tried smoking,never
148,Bachelor,Life Sciences,Manager,1,17181,3,10,21,7,6,Divorced,5,7,9,3,10,5,never smoked,social drinker
149,Master,Life Sciences,Laboratory Technician,1,2238,4,0,7,5,0,Married,2,8,2,0,4,2,never smoked,social drinker
150,Below College,Medical,Laboratory Technician,2,1483,3,6,1,1,0,Single,5,6,10,3,5,4,never smoked,never
151,Bachelor,Medical,Research Scientist,2,5605,3,3,20,20,7,Divorced,7,6,2,2,10,4,tried smoking,never
152,Doctor,Marketing,Sales Executive,2,7295,3,5,10,10,8,Married,4,7,3,4,2,4,tried smoking,never
153,College,Marketing,Sales Representative,3,2306,4,3,13,7,7,Married,4,9,3,9,5,10,tried smoking,drink a lot
154,Bachelor,Life Sciences,Laboratory Technician,2,2348,3,1,20,17,9,Divorced,1,9,0,0,2,3,tried smoking,social drinker
155,Bachelor,Marketing,Sales Executive,4,8998,3,1,9,9,8,Single,5,7,3,2,10,7,former smoker,drink a lot
156,Below College,Technical Degree,Manufacturing Director,3,4319,3,3,10,10,7,Married,3,8,1,6,5,10,tried smoking,social drinker
157,Master,Medical,Manufacturing Director,3,6132,3,3,10,1,0,Married,6,7,0,1,3,10,never smoked,drink a lot
158,Bachelor,Medical,Research Scientist,2,3346,4,3,9,1,0,Married,2,8,2,4,6,4,former smoker,social drinker
159,Master,Marketing,Sales Executive,4,10855,3,5,15,12,11,Married,4,6,1,2,10,2,tried smoking,never
160,Master,Marketing,Sales Representative,3,2231,3,0,6,4,3,Married,6,6,8,1,5,10,tried smoking,social drinker
161,Below College,Medical,Research Scientist,4,2323,4,2,2,2,2,Married,6,7,3,3,4,5,tried smoking,social drinker
162,Bachelor,Medical,Research Scientist,2,2024,3,0,6,2,2,Divorced,3,8,3,0,0,3,current smoker,social drinker
163,Bachelor,Medical,Research Scientist,4,2713,3,2,5,5,2,Married,5,7,0,1,1,4,tried smoking,social drinker
164,College,Life Sciences,Healthcare Representative,4,9439,3,4,12,5,3,Divorced,2,7,2,4,2,6,current smoker,social drinker
165,Bachelor,Medical,Research Scientist,3,2566,3,4,1,1,1,Divorced,2,7,2,4,2,6,current smoker,social drinker
166,Bachelor,Life Sciences,Manager,2,19926,3,4,21,5,4,Single,4,6,1,0,0,4,tried smoking,social drinker
167,Bachelor,Life Sciences,Research Scientist,3,2451,3,5,13,9,8,Divorced,5,8,3,1,5,7,former smoker,drink a lot
168,Bachelor,Life Sciences,Sales Executive,4,9419,3,6,12,10,9,Married,6,6,1,6,10,6,current smoker,drink a lot
169,Master,Life Sciences,Sales Executive,4,8686,4,2,12,8,3,Single,10,8,1,2,3,10,tried smoking,social drinker
170,Doctor,Life Sciences,Research Scientist,3,3038,4,2,8,5,4,Single,3,10,4,0,1,1,current smoker,social drinker
171,Bachelor,Technical Degree,Research Scientist,2,3058,3,5,6,5,2,Married,10,8,4,10,5,10,never smoked,drink a lot
172,Below College,Technical Degree,Sales Representative,1,2325,4,4,1,0,0,Single,3,7,4,4,2,5,tried smoking,social drinker
173,College,Medical,Laboratory Technician,2,2088,3,2,13,8,7,Single,2,9,4,1,3,1,tried smoking,social drinker
174,Bachelor,Medical,Laboratory Technician,1,3072,3,2,12,12,9,Divorced,2,5,1,1,4,7,never smoked,social drinker
175,College,Life Sciences,Sales Executive,1,5006,3,3,9,5,4,Divorced,10,5,5,0,5,6,former smoker,social drinker
176,Bachelor,Life Sciences,Research Scientist,1,4257,3,3,19,2,2,Divorced,9,6,2,1,10,1,never smoked,never
177,Bachelor,Life Sciences,Research Scientist,4,2500,3,7,4,3,1,Single,10,6,1,5,2,10,former smoker,social drinker
178,Bachelor,Life Sciences,Laboratory Technician,4,1102,4,5,1,1,0,Single,10,6,2,4,8,10,tried smoking,never
179,College,Marketing,Sales Executive,1,10453,4,1,24,24,13,Divorced,1,6,10,0,2,1,tried smoking,social drinker
180,College,Life Sciences,Laboratory Technician,4,2288,3,6,2,2,2,Single,2,8,3,3,9,4,tried smoking,never
181,Below College,Medical,Research Scientist,4,3929,4,6,7,4,2,Married,2,8,3,3,9,4,current smoker,social drinker
182,College,Medical,Research Scientist,2,2311,3,0,9,3,2,Single,10,7,0,1,10,8,never smoked,social drinker
183,College,Marketing,Sales Representative,2,3140,4,2,4,4,3,Single,10,7,2,1,6,2,tried smoking,social drinker
184,Bachelor,Medical,Laboratory Technician,3,3690,3,5,5,3,2,Married,7,8,2,1,7,9,tried smoking,drink a lot
185,College,Medical,Manufacturing Director,1,4450,3,1,5,4,2,Divorced,2,8,4,0,10,10,former smoker,drink a lot
186,Bachelor,Medical,Research Scientist,2,2756,3,4,8,8,7,Married,5,7,1,10,5,4,never smoked,never
187,Below College,Medical,Manager,3,19033,3,3,21,20,8,Married,9,7,4,2,8,5,tried smoking,social drinker
188,Master,Medical,Research Director,2,18722,3,1,36,24,15,Single,3,8,1,1,4,10,never smoked,social drinker
189,Below College,Life Sciences,Manufacturing Director,3,9547,3,3,10,10,9,Married,6,8,0,4,6,5,never smoked,social drinker
190,Bachelor,Medical,Healthcare Representative,2,13734,3,10,21,7,7,Single,4,7,1,10,5,10,never smoked,social drinker
191,Master,Life Sciences,Manager,3,19999,3,1,34,33,18,Married,9,5,7,0,6,6,never smoked,social drinker
192,Bachelor,Medical,Research Scientist,2,2279,3,4,7,7,7,Single,7,9,3,2,10,5,former smoker,social drinker
193,College,Life Sciences,Manufacturing Director,3,5916,3,5,8,1,0,Married,6,7,1,5,10,8,current smoker,social drinker
194,Bachelor,Medical,Research Scientist,4,2089,3,0,7,5,4,Divorced,5,7,2,8,0,10,tried smoking,never
195,College,Medical,Manager,4,16792,4,4,22,20,8,Married,1,10,3,6,6,5,current smoker,drink a lot
196,Bachelor,Life Sciences,Research Scientist,1,3564,3,5,8,8,7,Married,10,7,5,4,5,10,current smoker,never
197,Bachelor,Medical,Laboratory Technician,2,4425,3,4,10,6,2,Single,1,6,5,1,4,5,tried smoking,social drinker
198,College,Medical,Manufacturing Director,3,5265,3,0,11,5,3,Divorced,1,8,4,1,1,4,tried smoking,social drinker
199,Master,Life Sciences,Manufacturing Director,3,6553,3,2,14,1,0,Married,1,8,1,5,0,3,current smoker,drink a lot
200,Bachelor,Technical Degree,Manufacturing Director,4,6261,3,4,9,7,7,Married,8,7,6,3,8,3,former smoker,social drinker
201,Below College,Technical Degree,Manufacturing Director,1,4298,3,0,6,2,2,Married,4,9,8,4,2,8,tried smoking,social drinker
202,Master,Life Sciences,Manufacturing Director,4,6804,3,3,7,7,7,Divorced,1,5,5,0,2,5,tried smoking,social drinker
203,Master,Medical,Research Scientist,3,3815,3,0,5,5,3,Divorced,7,8,2,10,10,5,never smoked,never
204,College,Medical,Laboratory Technician,4,2741,3,8,15,7,2,Married,10,8,10,7,8,7,current smoker,social drinker
205,Below College,Medical,Healthcare Representative,1,6673,3,5,17,1,0,Married,1,7,3,2,3,7,never smoked,drink a lot
206,Bachelor,Marketing,Sales Executive,4,7639,4,4,10,10,4,Married,8,7,6,3,8,3,never smoked,social drinker
207,Bachelor,Life Sciences,Research Scientist,2,2328,3,0,4,4,2,Divorced,4,6,7,1,4,4,tried smoking,drink a lot
208,Below College,Medical,Laboratory Technician,4,2153,3,7,8,8,1,Single,8,8,2,4,10,7,tried smoking,social drinker
209,Doctor,Life Sciences,Healthcare Representative,4,4876,3,3,5,3,2,Married,10,8,1,5,10,3,current smoker,social drinker
210,Master,Medical,Healthcare Representative,1,9396,3,3,17,4,2,Divorced,10,8,1,5,10,3,never smoked,social drinker
211,Master,Medical,Sales Executive,4,10400,3,4,14,14,8,Married,3,7,3,1,5,10,tried smoking,social drinker
212,Below College,Life Sciences,Manufacturing Director,3,8474,4,4,12,11,8,Single,10,6,2,5,3,10,tried smoking,social drinker
213,Bachelor,Life Sciences,Sales Executive,3,9981,3,4,7,7,7,Single,10,6,2,5,3,10,tried smoking,drink a lot
214,Master,Life Sciences,Research Director,2,12490,3,3,16,10,9,Married,3,6,0,1,1,1,never smoked,social drinker
215,Bachelor,Technical Degree,Research Scientist,1,2657,3,5,8,5,2,Single,2,7,1,6,5,10,tried smoking,social drinker
216,Bachelor,Life Sciences,Manager,4,13591,3,2,16,1,0,Single,3,10,1,1,6,2,former smoker,social drinker
217,Master,Marketing,Sales Executive,1,6696,3,4,9,6,3,Single,8,9,1,3,10,6,current smoker,drink a lot
218,Bachelor,Technical Degree,Research Scientist,3,2058,3,10,7,6,2,Single,5,9,1,5,7,10,never smoked,social drinker
219,Bachelor,Medical,Sales Executive,4,8865,3,7,23,19,7,Single,8,6,0,5,10,10,tried smoking,social drinker
220,Bachelor,Marketing,Sales Executive,1,5940,3,6,16,6,2,Married,10,6,3,5,8,10,current smoker,social drinker
221,College,Life Sciences,Laboratory Technician,2,5914,3,4,16,13,11,Single,8,6,5,2,1,10,tried smoking,drink a lot
222,Master,Medical,Research Scientist,2,2622,4,6,7,3,2,Married,2,7,1,5,10,4,current smoker,drink a lot
223,Bachelor,Other,Research Director,4,12185,3,3,10,10,8,Divorced,5,10,3,2,2,10,never smoked,social drinker
224,Bachelor,Life Sciences,Sales Executive,3,10609,3,3,17,16,10,Divorced,5,10,3,2,2,10,tried smoking,social drinker
225,Master,Medical,Manufacturing Director,3,4345,3,3,6,5,4,Married,1,9,1,0,7,2,tried smoking,social drinker
226,Bachelor,Life Sciences,Research Scientist,4,2177,3,0,7,1,0,Married,9,4,10,4,10,5,tried smoking,social drinker
227,Master,Marketing,Sales Representative,4,2793,3,5,13,9,8,Divorced,7,8,10,3,8,9,tried smoking,social drinker
228,Below College,Medical,Sales Executive,4,7918,3,5,11,11,10,Married,7,8,10,3,8,9,former smoker,social drinker
